hour,datetime,p_import_mw,p_export_mw,p_dg_mw,p_ely_mw,p_fc_mw,soc_mwh,strategy
0,2022-01-01 00:00:00,3.37,0.00,0.00,0.00,0.00,0.00,IMPORT
1,2022-01-01 01:00:00,1.68,0.00,0.00,0.00,0.00,0.00,IMPORT
2,2022-01-01 02:00:00,2.53,0.00,0.00,0.00,0.00,0.00,IMPORT
3,2022-01-01 03:00:00,2.89,0.00,0.00,0.00,0.00,0.00,IMPORT
4,2022-01-01 04:00:00,3.50,0.00,0.00,0.00,0.00,0.00,IMPORT
5,2022-01-01 05:00:00,4.16,0.00,0.00,0.00,0.00,0.00,IMPORT
6,2022-01-01 06:00:00,3.85,0.00,0.00,0.00,0.00,0.00,IMPORT
7,2022-01-01 07:00:00,5.88,0.00,0.00,0.00,0.00,0.00,IMPORT
8,2022-01-01 08:00:00,5.98,0.00,0.00,0.00,0.00,0.00,IMPORT
9,2022-01-01 09:00:00,5.60,0.00,0.00,0.00,0.00,0.00,IMPORT
10,2022-01-01 10:00:00,8.39,0.00,0.00,0.00,0.00,0.00,IMPORT
11,2022-01-01 11:00:00,5.50,0.00,0.00,0.00,0.00,0.00,IMPORT
12,2022-01-01 12:00:00,8.83,0.00,0.00,0.00,0.00,0.00,IMPORT
13,2022-01-01 13:00:00,14.47,0.00,0.00,0.00,0.00,0.00,IMPORT
14,2022-01-01 14:00:00,15.35,0.00,0.00,0.00,0.00,0.00,IMPORT
15,2022-01-01 15:00:00,17.79,0.00,0.00,0.00,0.00,0.00,IMPORT
16,2022-01-01 16:00:00,11.72,0.00,0.00,0.00,0.00,0.00,IMPORT
17,2022-01-01 17:00:00,15.47,0.00,0.00,0.00,0.00,0.00,IMPORT
18,2022-01-01 18:00:00,10.62,0.00,0.00,0.00,0.00,0.00,IMPORT
19,2022-01-01 19:00:00,8.44,0.00,0.00,0.00,0.00,0.00,IMPORT
20,2022-01-01 20:00:00,9.85,0.00,0.00,0.00,0.00,0.00,IMPORT
21,2022-01-01 21:00:00,11.82,0.00,0.00,0.00,0.00,0.00,IMPORT
22,2022-01-01 22:00:00,10.64,0.00,0.00,0.00,0.00,0.00,IMPORT
23,2022-01-01 23:00:00,12.79,0.00,0.00,0.00,0.00,0.00,IMPORT
24,2022-01-02 00:00:00,8.93,0.00,0.00,0.00,0.00,0.00,IMPORT
25,2022-01-02 01:00:00,8.70,0.00,0.00,0.00,0.00,0.00,IMPORT
26,2022-01-02 02:00:00,5.09,0.00,0.00,0.00,0.00,0.00,IMPORT
27,2022-01-02 03:00:00,8.34,0.00,0.00,0.00,0.00,0.00,IMPORT
28,2022-01-02 04:00:00,5.92,0.00,0.00,0.00,0.00,0.00,IMPORT
29,2022-01-02 05:00:00,5.30,0.00,0.00,0.00,0.00,0.00,IMPORT
30,2022-01-02 06:00:00,3.91,0.00,0.00,0.00,0.00,0.00,IMPORT
31,2022-01-02 07:00:00,3.53,0.00,0.00,0.00,0.00,0.00,IMPORT
32,2022-01-02 08:00:00,0.00,0.27,0.00,0.00,0.00,0.00,EXPORT
33,2022-01-02 09:00:00,4.51,0.00,0.00,0.00,0.00,0.00,IMPORT
34,2022-01-02 10:00:00,0.00,0.00,0.00,1.28,0.00,0.90,ELY
35,2022-01-02 11:00:00,6.22,0.00,0.00,0.00,0.00,0.90,IMPORT
36,2022-01-02 12:00:00,5.76,0.00,0.00,0.00,0.00,0.90,IMPORT
37,2022-01-02 13:00:00,4.80,0.00,0.00,0.00,0.00,0.90,IMPORT
38,2022-01-02 14:00:00,3.65,0.00,0.00,0.00,0.00,0.90,IMPORT
39,2022-01-02 15:00:00,6.70,0.00,0.00,0.00,0.00,0.90,IMPORT
40,2022-01-02 16:00:00,6.26,0.00,0.00,0.00,0.00,0.90,IMPORT
41,2022-01-02 17:00:00,5.08,0.00,0.00,0.00,0.00,0.90,IMPORT
42,2022-01-02 18:00:00,0.00,0.00,0.00,1.15,0.00,1.70,ELY
43,2022-01-02 19:00:00,0.00,0.00,0.00,1.29,0.00,2.61,ELY
44,2022-01-02 20:00:00,0.00,0.12,0.00,0.00,0.00,2.61,EXPORT
45,2022-01-02 21:00:00,0.74,0.00,0.00,0.00,0.00,2.61,IMPORT
46,2022-01-02 22:00:00,2.93,0.00,0.00,0.00,0.00,2.61,IMPORT
47,2022-01-02 23:00:00,2.47,0.00,0.00,0.00,0.00,2.61,IMPORT
48,2022-01-03 00:00:00,0.68,0.00,0.00,0.00,0.00,2.61,IMPORT
49,2022-01-03 01:00:00,0.00,0.00,0.00,0.76,0.00,3.14,ELY
50,2022-01-03 02:00:00,1.32,0.00,0.00,0.00,0.00,3.14,IMPORT
51,2022-01-03 03:00:00,3.88,0.00,0.00,0.00,0.00,3.14,IMPORT
52,2022-01-03 04:00:00,4.47,0.00,0.00,0.00,0.00,3.14,IMPORT
53,2022-01-03 05:00:00,10.16,0.00,0.00,0.00,0.00,3.14,IMPORT
54,2022-01-03 06:00:00,6.17,0.00,0.00,0.00,0.00,3.14,IMPORT
55,2022-01-03 07:00:00,8.24,0.00,0.00,0.00,0.00,3.14,IMPORT
56,2022-01-03 08:00:00,10.34,0.00,0.00,0.00,0.00,3.14,IMPORT
57,2022-01-03 09:00:00,11.49,0.00,0.00,0.00,0.00,3.14,IMPORT
58,2022-01-03 10:00:00,9.61,0.00,0.00,0.00,0.00,3.14,IMPORT
59,2022-01-03 11:00:00,11.12,0.00,0.00,0.00,0.00,3.14,IMPORT
60,2022-01-03 12:00:00,14.72,0.00,0.00,0.00,0.00,3.14,IMPORT
61,2022-01-03 13:00:00,10.13,0.00,0.00,0.00,0.00,3.14,IMPORT
62,2022-01-03 14:00:00,13.21,0.00,0.00,0.00,0.00,3.14,IMPORT
63,2022-01-03 15:00:00,12.73,0.00,0.00,0.00,0.00,3.14,IMPORT
64,2022-01-03 16:00:00,9.91,0.00,0.00,0.00,0.00,3.14,IMPORT
65,2022-01-03 17:00:00,14.86,0.00,0.00,0.00,0.00,3.14,IMPORT
66,2022-01-03 18:00:00,7.84,0.00,0.00,0.00,0.00,3.14,IMPORT
67,2022-01-03 19:00:00,9.30,0.00,0.00,0.00,0.00,3.14,IMPORT
68,2022-01-03 20:00:00,9.65,0.00,0.00,0.00,0.00,3.14,IMPORT
69,2022-01-03 21:00:00,5.29,0.00,0.00,0.00,0.00,3.14,IMPORT
70,2022-01-03 22:00:00,9.63,0.00,0.00,0.00,0.00,3.14,IMPORT
71,2022-01-03 23:00:00,8.09,0.00,0.00,0.00,0.00,3.14,IMPORT
72,2022-01-04 00:00:00,8.49,0.00,0.00,0.00,0.00,3.14,IMPORT
73,2022-01-04 01:00:00,6.66,0.00,0.00,0.00,0.00,3.14,IMPORT
74,2022-01-04 02:00:00,5.87,0.00,0.00,0.00,0.00,3.14,IMPORT
75,2022-01-04 03:00:00,4.26,0.00,0.00,0.00,0.00,3.14,IMPORT
76,2022-01-04 04:00:00,8.00,0.00,0.00,0.00,0.00,3.14,IMPORT
77,2022-01-04 05:00:00,8.13,0.00,0.00,0.00,0.00,3.14,IMPORT
78,2022-01-04 06:00:00,9.89,0.00,0.00,0.00,0.00,3.14,IMPORT
79,2022-01-04 07:00:00,8.63,0.00,0.00,0.00,0.00,3.14,IMPORT
80,2022-01-04 08:00:00,8.26,0.00,0.00,0.00,0.00,3.14,IMPORT
81,2022-01-04 09:00:00,14.34,0.00,0.00,0.00,0.00,3.14,IMPORT
82,2022-01-04 10:00:00,10.45,0.00,0.00,0.00,0.00,3.14,IMPORT
83,2022-01-04 11:00:00,14.80,0.00,0.00,0.00,0.00,3.14,IMPORT
84,2022-01-04 12:00:00,15.14,0.00,0.00,0.00,0.00,3.14,IMPORT
85,2022-01-04 13:00:00,12.62,0.00,0.00,0.00,0.00,3.14,IMPORT
86,2022-01-04 14:00:00,13.14,0.00,0.00,0.00,0.00,3.14,IMPORT
87,2022-01-04 15:00:00,13.94,0.00,0.00,0.00,0.00,3.14,IMPORT
88,2022-01-04 16:00:00,11.48,0.00,0.00,0.00,0.00,3.14,IMPORT
89,2022-01-04 17:00:00,14.00,0.00,0.00,0.00,0.00,3.14,IMPORT
90,2022-01-04 18:00:00,10.07,0.00,0.00,0.00,0.00,3.14,IMPORT
91,2022-01-04 19:00:00,10.76,0.00,0.00,0.00,0.00,3.14,IMPORT
92,2022-01-04 20:00:00,9.96,0.00,0.00,0.00,0.00,3.14,IMPORT
93,2022-01-04 21:00:00,11.77,0.00,0.00,0.00,0.00,3.14,IMPORT
94,2022-01-04 22:00:00,10.99,0.00,0.00,0.00,0.00,3.14,IMPORT
95,2022-01-04 23:00:00,13.28,0.00,0.00,0.00,0.00,3.14,IMPORT
96,2022-01-05 00:00:00,7.45,0.00,0.00,0.00,0.00,3.14,IMPORT
97,2022-01-05 01:00:00,9.64,0.00,0.00,0.00,0.00,3.14,IMPORT
98,2022-01-05 02:00:00,6.03,0.00,0.00,0.00,0.00,3.14,IMPORT
99,2022-01-05 03:00:00,5.23,0.00,0.00,0.00,0.00,3.14,IMPORT
100,2022-01-05 04:00:00,7.86,0.00,0.00,0.00,0.00,3.14,IMPORT
101,2022-01-05 05:00:00,6.88,0.00,0.00,0.00,0.00,3.14,IMPORT
102,2022-01-05 06:00:00,6.88,0.00,0.00,0.00,0.00,3.14,IMPORT
103,2022-01-05 07:00:00,11.16,0.00,0.00,0.00,0.00,3.14,IMPORT
104,2022-01-05 08:00:00,4.59,0.00,0.00,0.00,0.00,3.14,IMPORT
105,2022-01-05 09:00:00,8.89,0.00,0.00,0.00,0.00,3.14,IMPORT
106,2022-01-05 10:00:00,4.85,0.00,0.00,0.00,0.00,3.14,IMPORT
107,2022-01-05 11:00:00,5.34,0.00,0.00,0.00,0.00,3.14,IMPORT
108,2022-01-05 12:00:00,2.62,0.00,0.00,0.00,0.00,3.14,IMPORT
109,2022-01-05 13:00:00,1.50,0.00,0.00,0.00,0.00,3.14,IMPORT
110,2022-01-05 14:00:00,1.62,0.00,0.00,0.00,0.00,3.14,IMPORT
111,2022-01-05 15:00:00,4.91,0.00,0.00,0.00,0.00,3.14,IMPORT
112,2022-01-05 16:00:00,7.79,0.00,0.00,0.00,0.00,3.14,IMPORT
113,2022-01-05 17:00:00,5.95,0.00,0.00,0.00,0.00,3.14,IMPORT
114,2022-01-05 18:00:00,4.38,0.00,0.00,0.00,1.88,0.00,IMPORT+FC
115,2022-01-05 19:00:00,0.74,0.00,0.00,0.00,0.00,0.00,IMPORT
116,2022-01-05 20:00:00,0.00,0.36,0.00,0.00,0.00,0.00,EXPORT
117,2022-01-05 21:00:00,0.84,0.00,0.00,0.00,0.00,0.00,IMPORT
118,2022-01-05 22:00:00,1.05,0.00,0.00,0.00,0.00,0.00,IMPORT
119,2022-01-05 23:00:00,0.61,0.00,0.00,0.00,0.00,0.00,IMPORT
120,2022-01-06 00:00:00,0.12,0.00,0.00,0.00,0.00,0.00,IMPORT
121,2022-01-06 01:00:00,1.51,0.00,0.00,0.00,0.00,0.00,IMPORT
122,2022-01-06 02:00:00,1.28,0.00,0.00,0.00,0.00,0.00,IMPORT
123,2022-01-06 03:00:00,1.38,0.00,0.00,0.00,0.00,0.00,IMPORT
124,2022-01-06 04:00:00,2.03,0.00,0.00,0.00,0.00,0.00,IMPORT
125,2022-01-06 05:00:00,2.81,0.00,0.00,0.00,0.00,0.00,IMPORT
126,2022-01-06 06:00:00,5.02,0.00,0.00,0.00,0.00,0.00,IMPORT
127,2022-01-06 07:00:00,3.60,0.00,0.00,0.00,0.00,0.00,IMPORT
128,2022-01-06 08:00:00,8.30,0.00,0.00,0.00,0.00,0.00,IMPORT
129,2022-01-06 09:00:00,5.91,0.00,0.00,0.00,0.00,0.00,IMPORT
130,2022-01-06 10:00:00,7.39,0.00,0.00,0.00,0.00,0.00,IMPORT
131,2022-01-06 11:00:00,7.76,0.00,0.00,0.00,0.00,0.00,IMPORT
132,2022-01-06 12:00:00,10.44,0.00,0.00,0.00,0.00,0.00,IMPORT
133,2022-01-06 13:00:00,12.63,0.00,0.00,0.00,0.00,0.00,IMPORT
134,2022-01-06 14:00:00,9.38,0.00,0.00,0.00,0.00,0.00,IMPORT
135,2022-01-06 15:00:00,10.10,0.00,0.00,0.00,0.00,0.00,IMPORT
136,2022-01-06 16:00:00,9.65,0.00,0.00,0.00,0.00,0.00,IMPORT
137,2022-01-06 17:00:00,8.83,0.00,0.00,0.00,0.00,0.00,IMPORT
138,2022-01-06 18:00:00,8.54,0.00,0.00,0.00,0.00,0.00,IMPORT
139,2022-01-06 19:00:00,5.67,0.00,0.00,0.00,0.00,0.00,IMPORT
140,2022-01-06 20:00:00,6.46,0.00,0.00,0.00,0.00,0.00,IMPORT
141,2022-01-06 21:00:00,6.16,0.00,0.00,0.00,0.00,0.00,IMPORT
142,2022-01-06 22:00:00,7.14,0.00,0.00,0.00,0.00,0.00,IMPORT
143,2022-01-06 23:00:00,7.65,0.00,0.00,0.00,0.00,0.00,IMPORT
144,2022-01-07 00:00:00,3.29,0.00,0.00,0.00,0.00,0.00,IMPORT
145,2022-01-07 01:00:00,5.21,0.00,0.00,0.00,0.00,0.00,IMPORT
146,2022-01-07 02:00:00,3.70,0.00,0.00,0.00,0.00,0.00,IMPORT
147,2022-01-07 03:00:00,6.14,0.00,0.00,0.00,0.00,0.00,IMPORT
148,2022-01-07 04:00:00,6.35,0.00,0.00,0.00,0.00,0.00,IMPORT
149,2022-01-07 05:00:00,3.93,0.00,0.00,0.00,0.00,0.00,IMPORT
150,2022-01-07 06:00:00,6.52,0.00,0.00,0.00,0.00,0.00,IMPORT
151,2022-01-07 07:00:00,10.53,0.00,0.00,0.00,0.00,0.00,IMPORT
152,2022-01-07 08:00:00,6.42,0.00,0.00,0.00,0.00,0.00,IMPORT
153,2022-01-07 09:00:00,13.36,0.00,0.00,0.00,0.00,0.00,IMPORT
154,2022-01-07 10:00:00,8.54,0.00,0.00,0.00,0.00,0.00,IMPORT
155,2022-01-07 11:00:00,14.27,0.00,0.00,0.00,0.00,0.00,IMPORT
156,2022-01-07 12:00:00,11.76,0.00,0.00,0.00,0.00,0.00,IMPORT
157,2022-01-07 13:00:00,10.23,0.00,0.00,0.00,0.00,0.00,IMPORT
158,2022-01-07 14:00:00,11.90,0.00,0.00,0.00,0.00,0.00,IMPORT
159,2022-01-07 15:00:00,10.11,0.00,0.00,0.00,0.00,0.00,IMPORT
160,2022-01-07 16:00:00,14.22,0.00,0.00,0.00,0.00,0.00,IMPORT
161,2022-01-07 17:00:00,13.33,0.00,0.00,0.00,0.00,0.00,IMPORT
162,2022-01-07 18:00:00,9.10,0.00,0.00,0.00,0.00,0.00,IMPORT
163,2022-01-07 19:00:00,9.88,0.00,0.00,0.00,0.00,0.00,IMPORT
164,2022-01-07 20:00:00,11.25,0.00,0.00,0.00,0.00,0.00,IMPORT
165,2022-01-07 21:00:00,7.64,0.00,0.00,0.00,0.00,0.00,IMPORT
166,2022-01-07 22:00:00,9.21,0.00,0.00,0.00,0.00,0.00,IMPORT
167,2022-01-07 23:00:00,9.43,0.00,0.00,0.00,0.00,0.00,IMPORT
168,2022-01-08 00:00:00,5.82,0.00,0.00,0.00,0.00,0.00,IMPORT
169,2022-01-08 01:00:00,6.51,0.00,0.00,0.00,0.00,0.00,IMPORT
170,2022-01-08 02:00:00,4.54,0.00,0.00,0.00,0.00,0.00,IMPORT
171,2022-01-08 03:00:00,4.95,0.00,0.00,0.00,0.00,0.00,IMPORT
172,2022-01-08 04:00:00,5.66,0.00,0.00,0.00,0.00,0.00,IMPORT
173,2022-01-08 05:00:00,7.98,0.00,0.00,0.00,0.00,0.00,IMPORT
174,2022-01-08 06:00:00,7.88,0.00,0.00,0.00,0.00,0.00,IMPORT
175,2022-01-08 07:00:00,8.93,0.00,0.00,0.00,0.00,0.00,IMPORT
176,2022-01-08 08:00:00,9.72,0.00,0.00,0.00,0.00,0.00,IMPORT
177,2022-01-08 09:00:00,14.45,0.00,0.00,0.00,0.00,0.00,IMPORT
178,2022-01-08 10:00:00,10.95,0.00,0.00,0.00,0.00,0.00,IMPORT
179,2022-01-08 11:00:00,11.12,0.00,0.00,0.00,0.00,0.00,IMPORT
180,2022-01-08 12:00:00,11.08,0.00,0.00,0.00,0.00,0.00,IMPORT
181,2022-01-08 13:00:00,14.66,0.00,0.00,0.00,0.00,0.00,IMPORT
182,2022-01-08 14:00:00,13.60,0.00,0.00,0.00,0.00,0.00,IMPORT
183,2022-01-08 15:00:00,13.05,0.00,0.00,0.00,0.00,0.00,IMPORT
184,2022-01-08 16:00:00,10.15,0.00,0.00,0.00,0.00,0.00,IMPORT
185,2022-01-08 17:00:00,14.83,0.00,0.00,0.00,0.00,0.00,IMPORT
186,2022-01-08 18:00:00,10.42,0.00,0.00,0.00,0.00,0.00,IMPORT
187,2022-01-08 19:00:00,8.61,0.00,0.00,0.00,0.00,0.00,IMPORT
188,2022-01-08 20:00:00,7.97,0.00,0.00,0.00,0.00,0.00,IMPORT
189,2022-01-08 21:00:00,6.99,0.00,0.00,0.00,0.00,0.00,IMPORT
190,2022-01-08 22:00:00,9.60,0.00,0.00,0.00,0.00,0.00,IMPORT
191,2022-01-08 23:00:00,9.57,0.00,0.00,0.00,0.00,0.00,IMPORT
192,2022-01-09 00:00:00,5.97,0.00,0.00,0.00,0.00,0.00,IMPORT
193,2022-01-09 01:00:00,3.37,0.00,0.00,0.00,0.00,0.00,IMPORT
194,2022-01-09 02:00:00,2.06,0.00,0.00,0.00,0.00,0.00,IMPORT
195,2022-01-09 03:00:00,3.64,0.00,0.00,0.00,0.00,0.00,IMPORT
196,2022-01-09 04:00:00,3.25,0.00,0.00,0.00,0.00,0.00,IMPORT
197,2022-01-09 05:00:00,4.24,0.00,0.00,0.00,0.00,0.00,IMPORT
198,2022-01-09 06:00:00,3.25,0.00,0.00,0.00,0.00,0.00,IMPORT
199,2022-01-09 07:00:00,5.52,0.00,0.00,0.00,0.00,0.00,IMPORT
200,2022-01-09 08:00:00,6.63,0.00,0.00,0.00,0.00,0.00,IMPORT
201,2022-01-09 09:00:00,10.19,0.00,0.00,0.00,0.00,0.00,IMPORT
202,2022-01-09 10:00:00,4.44,0.00,0.00,0.00,0.00,0.00,IMPORT
203,2022-01-09 11:00:00,12.03,0.00,0.00,0.00,0.00,0.00,IMPORT
204,2022-01-09 12:00:00,11.11,0.00,0.00,0.00,0.00,0.00,IMPORT
205,2022-01-09 13:00:00,7.92,0.00,0.00,0.00,0.00,0.00,IMPORT
206,2022-01-09 14:00:00,7.89,0.00,0.00,0.00,0.00,0.00,IMPORT
207,2022-01-09 15:00:00,11.12,0.00,0.00,0.00,0.00,0.00,IMPORT
208,2022-01-09 16:00:00,7.57,0.00,0.00,0.00,0.00,0.00,IMPORT
209,2022-01-09 17:00:00,9.01,0.00,0.00,0.00,0.00,0.00,IMPORT
210,2022-01-09 18:00:00,4.11,0.00,0.00,0.00,0.00,0.00,IMPORT
211,2022-01-09 19:00:00,2.61,0.00,0.00,0.00,0.00,0.00,IMPORT
212,2022-01-09 20:00:00,3.20,0.00,0.00,0.00,0.00,0.00,IMPORT
213,2022-01-09 21:00:00,3.81,0.00,0.00,0.00,0.00,0.00,IMPORT
214,2022-01-09 22:00:00,3.24,0.00,0.00,0.00,0.00,0.00,IMPORT
215,2022-01-09 23:00:00,5.91,0.00,0.00,0.00,0.00,0.00,IMPORT
216,2022-01-10 00:00:00,1.08,0.00,0.00,0.00,0.00,0.00,IMPORT
217,2022-01-10 01:00:00,2.00,0.00,0.00,0.00,0.00,0.00,IMPORT
218,2022-01-10 02:00:00,1.63,0.00,0.00,0.00,0.00,0.00,IMPORT
219,2022-01-10 03:00:00,4.54,0.00,0.00,0.00,0.00,0.00,IMPORT
220,2022-01-10 04:00:00,4.32,0.00,0.00,0.00,0.00,0.00,IMPORT
221,2022-01-10 05:00:00,8.15,0.00,0.00,0.00,0.00,0.00,IMPORT
222,2022-01-10 06:00:00,6.00,0.00,0.00,0.00,0.00,0.00,IMPORT
223,2022-01-10 07:00:00,10.78,0.00,0.00,0.00,0.00,0.00,IMPORT
224,2022-01-10 08:00:00,7.42,0.00,0.00,0.00,0.00,0.00,IMPORT
225,2022-01-10 09:00:00,14.84,0.00,0.00,0.00,0.00,0.00,IMPORT
226,2022-01-10 10:00:00,7.42,0.00,0.00,0.00,0.00,0.00,IMPORT
227,2022-01-10 11:00:00,12.92,0.00,0.00,0.00,0.00,0.00,IMPORT
228,2022-01-10 12:00:00,12.20,0.00,0.00,0.00,0.00,0.00,IMPORT
229,2022-01-10 13:00:00,15.27,0.00,0.00,0.00,0.00,0.00,IMPORT
230,2022-01-10 14:00:00,12.18,0.00,0.00,0.00,0.00,0.00,IMPORT
231,2022-01-10 15:00:00,14.23,0.00,0.00,0.00,0.00,0.00,IMPORT
232,2022-01-10 16:00:00,10.89,0.00,0.00,0.00,0.00,0.00,IMPORT
233,2022-01-10 17:00:00,14.07,0.00,0.00,0.00,0.00,0.00,IMPORT
234,2022-01-10 18:00:00,7.98,0.00,0.00,0.00,0.00,0.00,IMPORT
235,2022-01-10 19:00:00,8.70,0.00,0.00,0.00,0.00,0.00,IMPORT
236,2022-01-10 20:00:00,7.47,0.00,0.00,0.00,0.00,0.00,IMPORT
237,2022-01-10 21:00:00,9.04,0.00,0.00,0.00,0.00,0.00,IMPORT
238,2022-01-10 22:00:00,12.26,0.00,0.00,0.00,0.00,0.00,IMPORT
239,2022-01-10 23:00:00,8.94,0.00,0.00,0.00,0.00,0.00,IMPORT
240,2022-01-11 00:00:00,7.56,0.00,0.00,0.00,0.00,0.00,IMPORT
241,2022-01-11 01:00:00,6.81,0.00,0.00,0.00,0.00,0.00,IMPORT
242,2022-01-11 02:00:00,6.72,0.00,0.00,0.00,0.00,0.00,IMPORT
243,2022-01-11 03:00:00,6.34,0.00,0.00,0.00,0.00,0.00,IMPORT
244,2022-01-11 04:00:00,6.08,0.00,0.00,0.00,0.00,0.00,IMPORT
245,2022-01-11 05:00:00,7.42,0.00,0.00,0.00,0.00,0.00,IMPORT
246,2022-01-11 06:00:00,7.96,0.00,0.00,0.00,0.00,0.00,IMPORT
247,2022-01-11 07:00:00,11.95,0.00,0.00,0.00,0.00,0.00,IMPORT
248,2022-01-11 08:00:00,13.01,0.00,0.00,0.00,0.00,0.00,IMPORT
249,2022-01-11 09:00:00,16.90,0.00,0.00,0.00,0.00,0.00,IMPORT
250,2022-01-11 10:00:00,10.32,0.00,0.00,0.00,0.00,0.00,IMPORT
251,2022-01-11 11:00:00,15.54,0.00,0.00,0.00,0.00,0.00,IMPORT
252,2022-01-11 12:00:00,16.05,0.00,0.00,0.00,0.00,0.00,IMPORT
253,2022-01-11 13:00:00,15.22,0.00,0.00,0.00,0.00,0.00,IMPORT
254,2022-01-11 14:00:00,16.87,0.00,0.00,0.00,0.00,0.00,IMPORT
255,2022-01-11 15:00:00,17.19,0.00,0.00,0.00,0.00,0.00,IMPORT
256,2022-01-11 16:00:00,13.53,0.00,0.00,0.00,0.00,0.00,IMPORT
257,2022-01-11 17:00:00,17.63,0.00,0.00,0.00,0.00,0.00,IMPORT
258,2022-01-11 18:00:00,10.72,0.00,0.00,0.00,0.00,0.00,IMPORT
259,2022-01-11 19:00:00,10.03,0.00,0.00,0.00,0.00,0.00,IMPORT
260,2022-01-11 20:00:00,10.38,0.00,0.00,0.00,0.00,0.00,IMPORT
261,2022-01-11 21:00:00,9.61,0.00,0.00,0.00,0.00,0.00,IMPORT
262,2022-01-11 22:00:00,13.80,0.00,0.00,0.00,0.00,0.00,IMPORT
263,2022-01-11 23:00:00,10.07,0.00,0.00,0.00,0.00,0.00,IMPORT
264,2022-01-12 00:00:00,11.07,0.00,0.00,0.00,0.00,0.00,IMPORT
265,2022-01-12 01:00:00,8.52,0.00,0.00,0.00,0.00,0.00,IMPORT
266,2022-01-12 02:00:00,6.83,0.00,0.00,0.00,0.00,0.00,IMPORT
267,2022-01-12 03:00:00,7.96,0.00,0.00,0.00,0.00,0.00,IMPORT
268,2022-01-12 04:00:00,6.83,0.00,0.00,0.00,0.00,0.00,IMPORT
269,2022-01-12 05:00:00,10.07,0.00,0.00,0.00,0.00,0.00,IMPORT
270,2022-01-12 06:00:00,6.68,0.00,0.00,0.00,0.00,0.00,IMPORT
271,2022-01-12 07:00:00,11.20,0.00,0.00,0.00,0.00,0.00,IMPORT
272,2022-01-12 08:00:00,8.09,0.00,0.00,0.00,0.00,0.00,IMPORT
273,2022-01-12 09:00:00,10.19,0.00,0.00,0.00,0.00,0.00,IMPORT
274,2022-01-12 10:00:00,5.07,0.00,0.00,0.00,0.00,0.00,IMPORT
275,2022-01-12 11:00:00,8.94,0.00,0.00,0.00,0.00,0.00,IMPORT
276,2022-01-12 12:00:00,5.02,0.00,0.00,0.00,0.00,0.00,IMPORT
277,2022-01-12 13:00:00,7.06,0.00,0.00,0.00,0.00,0.00,IMPORT
278,2022-01-12 14:00:00,4.45,0.00,0.00,0.00,0.00,0.00,IMPORT
279,2022-01-12 15:00:00,5.51,0.00,0.00,0.00,0.00,0.00,IMPORT
280,2022-01-12 16:00:00,5.43,0.00,0.00,0.00,0.00,0.00,IMPORT
281,2022-01-12 17:00:00,2.59,0.00,0.00,0.00,0.00,0.00,IMPORT
282,2022-01-12 18:00:00,5.08,0.00,0.00,0.00,0.00,0.00,IMPORT
283,2022-01-12 19:00:00,4.13,0.00,0.00,0.00,0.00,0.00,IMPORT
284,2022-01-12 20:00:00,1.73,0.00,0.00,0.00,0.00,0.00,IMPORT
285,2022-01-12 21:00:00,1.86,0.00,0.00,0.00,0.00,0.00,IMPORT
286,2022-01-12 22:00:00,2.46,0.00,0.00,0.00,0.00,0.00,IMPORT
287,2022-01-12 23:00:00,2.75,0.00,0.00,0.00,0.00,0.00,IMPORT
288,2022-01-13 00:00:00,6.29,0.00,0.00,0.00,0.00,0.00,IMPORT
289,2022-01-13 01:00:00,4.51,0.00,0.00,0.00,0.00,0.00,IMPORT
290,2022-01-13 02:00:00,3.00,0.00,0.00,0.00,0.00,0.00,IMPORT
291,2022-01-13 03:00:00,5.11,0.00,0.00,0.00,0.00,0.00,IMPORT
292,2022-01-13 04:00:00,2.96,0.00,0.00,0.00,0.00,0.00,IMPORT
293,2022-01-13 05:00:00,3.10,0.00,0.00,0.00,0.00,0.00,IMPORT
294,2022-01-13 06:00:00,7.01,0.00,0.00,0.00,0.00,0.00,IMPORT
295,2022-01-13 07:00:00,7.66,0.00,0.00,0.00,0.00,0.00,IMPORT
296,2022-01-13 08:00:00,9.74,0.00,0.00,0.00,0.00,0.00,IMPORT
297,2022-01-13 09:00:00,12.84,0.00,0.00,0.00,0.00,0.00,IMPORT
298,2022-01-13 10:00:00,13.23,0.00,0.00,0.00,0.00,0.00,IMPORT
299,2022-01-13 11:00:00,19.00,0.00,0.00,0.00,0.00,0.00,IMPORT
300,2022-01-13 12:00:00,18.86,0.00,0.00,0.00,0.00,0.00,IMPORT
301,2022-01-13 13:00:00,13.95,0.00,0.00,0.00,0.00,0.00,IMPORT
302,2022-01-13 14:00:00,15.67,0.00,0.00,0.00,0.00,0.00,IMPORT
303,2022-01-13 15:00:00,12.06,0.00,0.00,0.00,0.00,0.00,IMPORT
304,2022-01-13 16:00:00,9.40,0.00,0.00,0.00,0.00,0.00,IMPORT
305,2022-01-13 17:00:00,14.42,0.00,0.00,0.00,0.00,0.00,IMPORT
306,2022-01-13 18:00:00,11.48,0.00,0.00,0.00,0.00,0.00,IMPORT
307,2022-01-13 19:00:00,10.53,0.00,0.00,0.00,0.00,0.00,IMPORT
308,2022-01-13 20:00:00,10.31,0.00,0.00,0.00,0.00,0.00,IMPORT
